glycan_entity	glycan_entity_change	glycoprotein_entity_name	glycoprotein_gene_name	glycoprotein_mapped	glycoenzyme_entity_name	glycoenzyme_gene_name	glycoenzyme_mapped	biomarker_role	disease_name	disease_mapped	medical_intervention	organism	specimen_type	specimen_mapped	pmid	sentence_in_abstract
	unaltered level							diagnostic	Hypersensitivity	Hypersensitivity		Humans	Tears	Tears	33825208	Glycomics in tears: seeking for new biomarkers for ocular allergy diagnosis.
N-glycosylation	increased level	Carcinoembryonic antigen	CEA	Carcinoembryonic Antigen				diagnostic|prognostic|monitoring	colorectal cancers	Lung Neoplasms		Humans	plasma	Humans	37820924	Differential site-specific glycoforms of plasma CEA were observed in patients with colorectal cancers (CRCs) and lung cancer.
N-glycosylation	increased level	Carcinoembryonic antigen	CEA	Carcinoembryonic Antigen				diagnostic|prognostic|monitoring	lung cancer	Lung Neoplasms		Humans	plasma	Humans	37820924	Differential site-specific glycoforms of plasma CEA were observed in patients with colorectal cancers (CRCs) and lung cancer.
	unaltered level	Glycoproteins		Glycoproteins				diagnostic	Biomarkers	Biomarkers		Humans	Animals	Animals	22727214	The future of glycoscience.
N-glycan	increased level	apolipoprotein C-III	APOC3	COG5 protein, human				diagnostic	COG5-CDG	Congenital Disorders of Glycosylation		Humans	serum	Humans	28444691	When compared with age-matched controls, COG5-CDG showed a significant increase of apoC-III<sub>0a</sub> (aglycosylated glycoform), whereas apoC-III<sub>1</sub> (mono-sialylated glycoform) decreased significantly.
O-glycan	decreased level	apolipoprotein C-III	APOC3	COG5 protein, human				diagnostic	COG5-CDG	Congenital Disorders of Glycosylation		Humans	serum	Humans	28444691	When compared with age-matched controls, COG5-CDG showed a significant increase of apoC-III<sub>0a</sub> (aglycosylated glycoform), whereas apoC-III<sub>1</sub> (mono-sialylated glycoform) decreased significantly.
N-glycan	increased level	Biomarkers		Biomarkers				prognostic	Inflammatory Bowel Disease	Inflammatory Bowel Diseases	treatment escalation	Humans	serum	Humans	36694402	These data demonstrate the prognostic capacity of serum N-glycan biomarkers and represent a step towards personalised medicine in IBD.
N-glycan	increased level	Biomarkers		Biomarkers				prognostic	Crohn’s disease	Crohn Disease	treatment escalation	Humans	serum	Humans	36694402	These data demonstrate the prognostic capacity of serum N-glycan biomarkers and represent a step towards personalised medicine in IBD.
N-glycan	increased level	Biomarkers		Biomarkers				prognostic	ulcerative colitis	Colitis, Ulcerative	treatment escalation	Humans	serum	Humans	36694402	These data demonstrate the prognostic capacity of serum N-glycan biomarkers and represent a step towards personalised medicine in IBD.
N-glycan	unaltered level	plasma proteins		Biomarkers|Polysaccharides				diagnostic|monitoring|prognostic	disease	Biomarkers		Human	blood plasma	Humans	34611874	There is increasing interest in the scientific community to identify potential glycan biomarkers or glycan features that are indicative of disease, and in particular disease at an early stage.
glycan alteration	altered level	glycoprotein		Glycoproteins				diagnostic|prognostic|response	cancer	Humans	personalized medicine	Humans	tumor	Humans	33404348	Since the alterations on the glycan compositions or/and structures (i.e., glycosylation, sialylation, and fucosylation) are common features of tumorigenesis, glycomics becomes an emerging field examining the structure and function of glycans.
N-glycans	altered level	viral glycoproteins		CD163 Antigen				diagnostic|monitoring|response	Porcine reproductive and respiratory syndrome	Porcine Reproductive and Respiratory Syndrome		Swine	cell cultures	Cell Line	38776134	Our results showed that removal or alteration of N-glycans from PRRSV affected virus infection.
O-glycosylation	altered level	MUC1 protein	MUC1	MUC1 protein|Mucin-1	GalNAc-transferases	GALNT	GalNAc-T	diagnostic|predictive	cancers	Glycosylation		humans	Mucin-1	Mucin-1	32681163	The abnormal expression of various polypeptide GalNAc-transferases (GalNAc-Ts) which initiate and define sites of O-glycosylation are linked to many cancers and other diseases.
N-glycans	unaltered level	recombinant monoclonal antibodies	EG2-hFc|rituximab	Antibodies, Monoclonal|Glycoproteins	exoglycosidase		Glycoside Hydrolases	diagnostic|monitoring|predictive|prognostic|response|risk|safety	clinical disease diagnosis			Human	human serum	Humans	33891963	This improved technology provides a powerful tool in support of rapid advancement of glycan analysis for biopharmaceutical development and biomarker discovery for clinical disease diagnosis.
α-2,6 sialic acid	increased level	Prostate-Specific Antigen	PSA	Prostate-Specific Antigen				diagnostic|prognostic	Prostate cancer	Prostatic Neoplasms		Humans	blood	Humans	27767199	PSA is routinely used as a biomarker of prostate cancer (PCa) and the glycosylation status of PSA is a more specific marker of disease progress than only the PSA level.
sialyllactose	increased level							diagnostic	gastric cancer	Pancreatic Neoplasms		Humans	urine	Humans	33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose;
sialyl Lewis X	increased level							diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	urine	Humans	33135073	Representative structures of glycans with elevated levels in cancer patients included the following: sialyl Lewis X;
lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans	increased level							diagnostic	cholangiocarcinoma			Humans	urine	Humans	33135073	Representative structures of glycans with elevated levels in cancer patients included the following: lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc;
free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X	increased level							diagnostic	gastric cancer	Pancreatic Neoplasms		Humans	urine	Humans	33135073	Representative structures of glycans with elevated levels in cancer patients included the following: free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X;
novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans	increased level							diagnostic	cholangiocarcinoma			Humans	urine	Humans	33135073	Representative structures of glycans with elevated levels in cancer patients included the following: novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
Core 1/Core 3 O-glycosylation	increased level	lubricin	PRG4	lubricin/proteoglycan 4				diagnostic|monitoring	osteoarthritis	Osteoarthritis		horse	synovial fluid	Synovial Fluid	33587757	Lectin microarrays identified distinct glycosylation patterns between healthy and OA synovial fluid, including increased Core 1/Core 3 O-glycosylation, increased α-2,3 sialylation and decreased α-1,2 fucosylation in OA.
α-2,3 sialylation	increased level	lubricin	PRG4	lubricin/proteoglycan 4				diagnostic|monitoring	osteoarthritis	Osteoarthritis		horse	synovial fluid	Synovial Fluid	33587757	Lectin microarrays identified distinct glycosylation patterns between healthy and OA synovial fluid, including increased Core 1/Core 3 O-glycosylation, increased α-2,3 sialylation and decreased α-1,2 fucosylation in OA.
α-1,2 fucosylation	decreased level	lubricin	PRG4	lubricin/proteoglycan 4				diagnostic|monitoring	osteoarthritis	Osteoarthritis		horse	synovial fluid	Synovial Fluid	33587757	Lectin microarrays identified distinct glycosylation patterns between healthy and OA synovial fluid, including increased Core 1/Core 3 O-glycosylation, increased α-2,3 sialylation and decreased α-1,2 fucosylation in OA.
core 1 sialylated O-glycans	increased level	EGFR	EGFR	EGFR protein, human|ErbB Receptors	ST3Gal1	ST3Gal1		diagnostic|prognostic	breast cancer	Breast Neoplasms		humans	breast cancer cells	Breast Neoplasms	32776095	MMP10, the principal gene upregulated when cells carrying sialylated core 1 glycans were stimulated with EGF, is also upregulated in ER-positive breast carcinoma reported to express high levels of ST3Gal1 and hence mainly core 1 sialylated O-glycans.
core 2 glycans	increased level	EGFR	EGFR	EGFR protein, human|ErbB Receptors				diagnostic|prognostic	breast cancer	Breast Neoplasms		humans	isogenic cells engineered to carry core 2 glycans		32776095	In contrast, isogenic cells engineered to carry core 2 glycans upregulate CX3CL1 and FGFBP1 and these genes are upregulated in ER-negative breast carcinomas, also known to express longer core 2 O-glycans.
fucosylated Lewis-X antigen (Lex, CD15) (Galβ1-4(Fucα1-3)GlcNAcβ1-R)	increased level	glycoproteins		Biomarkers, Tumor	α1-3/4-fucosyltransferase		Fucosyltransferases	diagnostic|prognostic	bladder cancer	Urinary Bladder Neoplasms		Humans	bladder cancer cell lines	Cells, Cultured	34350945	These major differences in glycan structures and gene expression profiles between low- and high-grade bladder cancer cells suggest that glycans and glycosyltransferases are candidate biomarkers for grading bladder cancers.
glycans	unaltered level	immunoglobulins		Immunoglobulins				diagnostic|monitoring	Substance Use Disorders	Substance-Related Disorders		Humans	Brain	Brain	29857889	These lines of evidence provide fertile ground for hypotheses relating to both diagnosis and treatment.
O- and N-glycosylation	undetermined	Proteins		Proteins				diagnostic|monitoring	Precision Medicine	Precision Medicine					37169080	The potential of longitudinal sampling and monitoring of glycomic features for diagnosis and treatment monitoring is emphasized.
G2	increased level	IgG		Biomarkers				predictive	HIV Infections	HIV-1	Antiretroviral Therapy, Highly Active	Humans	plasma	Glycomics	31972605	Higher pre-ATI levels of the IgG glycan, G2, were significantly associated with a longer time-to-viral-rebound (hazard ratio = 0.12, P = 0.05).
FA2BG1	increased level							predictive	HIV Infections	HIV-1	Antiretroviral Therapy, Highly Active	Humans	plasma	Glycomics	31972605	levels of FA2BG1, a non-sialylated, core-fucosylated glycan, associated with a longer time-to-viral-rebound (hazard ratio = 0.023, P = 0.05)
FA2G2S1	increased level							predictive	HIV Infections	HIV-1	Antiretroviral Therapy, Highly Active	Humans	plasma	Glycomics	31972605	FA2G2S1, a sialylated glycan, associated with a shorter time-to-viral-rebound (hazard ratio = 24.1, P = 0.028)
T-antigen (Galβ1-3GalNAc)	decreased level							predictive	HIV Infections	HIV-1	Antiretroviral Therapy, Highly Active	Humans	plasma	Glycomics	31972605	pre-ATI plasma glycomic signatures associated with a lower viral setpoint, for example, T-antigen (Galβ1-3GalNAc) (r = 0.75, P = 0.0007)
polylactosamine	increased level							predictive	HIV Infections	HIV-1	Antiretroviral Therapy, Highly Active	Humans	plasma	Glycomics	31972605	a higher viral setpoint, for example, polylactosamine (r = -0.58, P = 0.01)
Fc-bisection	increased level	Immunoglobulin G		Immunoglobulin G				predictive|prognostic	PR3-ANCA associated vasculitis	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis		Humans	longitudinal samples	Humans	37841251	Analysis of the cross-sectional differences as well as longitudinal changes demonstrated that IgGs of relapsing PR3-ANCA patients have higher ΔFc-bisection at diagnosis (P = 0.004) and exhibit a decrease in Fc-sialylation prior to the relapse (P = 0.0004), discriminating them from non-relapsing patients.
Fc-sialylation	decreased level	Immunoglobulin G		Immunoglobulin G				predictive|prognostic	PR3-ANCA associated vasculitis	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis		Humans	longitudinal samples	Humans	37841251	Most importantly, PR3-ANCA patients who experienced an ANCA rise and relapsed shortly thereafter, exhibit lower IgG Fc-fucosylation levels compared to non-relapsing patients already 9 months before relapse (P = 0.02).
Fc-fucosylation	decreased level	Immunoglobulin G		Immunoglobulin G				predictive|prognostic	PR3-ANCA associated vasculitis	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis		Humans	longitudinal samples	Humans	37841251	Our data indicate that IgG Fc-bisection correlates with long-term treatment outcome, while lower IgG Fc-fucosylation and sialylation associate with impending relapse.
glycans	altered level	fetuin	FETUA	alpha-Fetoproteins				diagnostic	carcinogenesis	Cancer		Humans	body fluids	Humans	34101384	Subtle changes in glycans resulting from altered glycosylation machinery have been reported during various diseases, including carcinogenesis.
N-glycans	increased level	Immunoglobulin G	IGG	Immunoglobulin G				diagnostic	cystic echinococcosis	Echinococcosis		Humans	serum	Humans	37540936	In the present study, we demonstrate the value of Immunoglobulin G (IgG) glycome as a potential diagnostic biomarker for echinococcosis.
N-glycans	decreased level	Immunoglobulin G	IGG	Immunoglobulin G				diagnostic	alveolar echinococcosis	Echinococcosis		Humans	serum	Humans	37540936	In the present study, we demonstrate the value of Immunoglobulin G (IgG) glycome as a potential diagnostic biomarker for echinococcosis.
N-glycans	decreased level							diagnostic|monitoring	age-related diseases	Aging	caloric restriction	mice	serum	Animals	37132100	Caloric restriction (CR) can prolong life and ameliorate age-related diseases; thus, its molecular basis might provide new insights for finding biomarker and intervention for aging and age-related disease.
O-acetylated sialoglycans	increased level							diagnostic|monitoring	age-related diseases	Aging	caloric restriction	mice	serum	Animals	37132100	Interestingly, O-acetylated sialoglycans presented an upward change different from other derived traits, which is mainly reflected in two biantennary α2,6-linked sialoglycans (H5N4Ge2Ac1, H5N4Ge2Ac2).
N-glycans	increased level	glycoproteins		Glycoproteins				diagnostic|prognostic	Congenital aortic valve stenosis	Aortic Valve Stenosis		Humans	valvular tissues	Aortic Valve	33516683	This study identifies that the human aortic valve structure is spatially defined by N-glycomic signaling and may generate new research directions for the treatment of human aortic valve disease.
N-glycans	increased level	glycoproteins		Glycoproteins				diagnostic|prognostic	aortic valve insufficiency			Humans	valvular tissues	Aortic Valve	33516683	In AVI diagnosed tissue, N-glycans localized to hypertrophic commissures with increases in pauci-mannose structures.
N-glycans	altered level	IgG		Immunoglobulin G				diagnostic|monitoring|prognostic	atrial fibrillation	Atrial Fibrillation	pulmonary vein isolation	Humans	plasma	Blood Proteins	37189353	To assess the changes in the N-glycosylation of the plasma proteins and IgG in atrial fibrillation, we analyzed the N-glycosylation of 172 patients with atrial fibrillation, before and six months after a pulmonary vein isolation procedure, with 54 cardiovascularly healthy controls.
N-glycans	altered level	total plasma proteins		Blood Proteins				diagnostic|monitoring|prognostic	atrial fibrillation	Atrial Fibrillation	pulmonary vein isolation	Humans	plasma	Blood Proteins	37189353	We found one oligomannose N-glycan structure from the plasma N-glycome and six IgG N-glycans, mainly revolving around the presence of bisecting N-acetylglucosamine, that were significantly different between the case and control groups.
N-glycans	altered level	IgG		Immunoglobulin G				diagnostic|monitoring|prognostic	atrial fibrillation	Atrial Fibrillation	pulmonary vein isolation	Humans	plasma	Blood Proteins	37189353	In addition, four plasma N-glycans, mostly oligomannose structures and a derived trait that was related to them, were found to be different in the patients who experienced an atrial fibrillation recurrence during the six-month follow-up.
IgG Fc N-glycan traits	altered level	Immunoglobulin G		Immunoglobulin G				predictive	COVID-19	COVID-19		Humans	blood	Humans	35307819	This study brings to light a novel blood biomarker based on IgG Fc glycome composition with capacity to stratify patients at diagnosis.
Mac-2 binding protein glycosylation isomer	increased level	Mac-2 binding protein		Membrane Glycoproteins				diagnostic|monitoring	Hepatitis C	Hepatitis C		Humans	Liver fibrosis	Liver Cirrhosis|Liver Neoplasms	37812281	This study aimed to evaluate the quantitative measurement of Mac-2 binding protein glycosylation isomer (M2BPGi) levels using the new chemiluminescent enzyme immunoassay.
	unaltered level	Glycoproteins		Glycoproteins				diagnostic|monitoring|predictive|prognostic|response|risk|safety	Carcinoma, Hepatocellular	Carcinoma, Hepatocellular		Humans	Liver Neoplasms	Liver Neoplasms	36725113	This concept has already been established in the detection of hepatocellular carcinoma with the GALAD score.
	increased level	Glycoproteins		Glycoproteins				diagnostic	Biomarkers	Biomarkers		Humans		Humans	28027727	New investigators in glycoscience.
GP1-4, GP6, GP7, GP24	increased level	Immunoglobulin G	IGG	Immunoglobulin G				diagnostic|risk	colorectal cancer|dyslipidemia|ischemic stroke|rheumatoid arthritis|systemic lupus erythematosus	Chronic Disease		Humans	Observational Studies	Observational Studies as Topic	31414971	We found that the high levels of GP1-4, GP6, GP7, and GP24 and low levels of GP9, GP13-15, GP18, and GP23 could potentially increase the risk of disease.
Hex1	increased level	Glycoproteins		Glycoproteins				diagnostic	Alzheimer's disease	Alzheimer Disease		Humans	cerebrospinal fluid	Humans	38785920	The free-glycans Hex1 and HexNAc1Hex1Neu5Ac1 were able to discriminate AD from controls and from patients suffering from other types of dementia.
HexNAc1Hex1Neu5Ac1	increased level	Glycoproteins		Glycoproteins				diagnostic	Alzheimer's disease	Alzheimer Disease		Humans	cerebrospinal fluid	Humans	38785920	The free-glycans Hex1 and HexNAc1Hex1Neu5Ac1 were able to discriminate AD from controls and from patients suffering from other types of dementia.
digalactosylated (G2)	decreased level	Immunoglobulin G		Immunoglobulin G				diagnostic|monitoring	menstrual cycle	Time Factors		Humans	plasma	Polysaccharides	38877341	The menstrual cycle cohort exhibited statistically significant trends in digalactosylated (G2), agalactosylated (G0) and fucosylation (F).
agalactosylated (G0)	increased level	Immunoglobulin G		Immunoglobulin G				diagnostic|monitoring	menstrual cycle	Time Factors		Humans	plasma	Polysaccharides	38877341	The menstrual cycle cohort exhibited statistically significant trends in digalactosylated (G2), agalactosylated (G0) and fucosylation (F).
fucosylation (F)	increased level	Immunoglobulin G		Immunoglobulin G				diagnostic|monitoring	menstrual cycle	Time Factors		Humans	plasma	Polysaccharides	38877341	The menstrual cycle cohort exhibited statistically significant trends in digalactosylated (G2), agalactosylated (G0) and fucosylation (F).
bisected N-acetylglucosamine	increased level	Immunoglobulin G		Immunoglobulin G				diagnostic|monitoring	age-related health concerns	Aging		Humans	plasma	Polysaccharides	38877341	Long-term stability analysis identified enduring age-related trends in both subjects, showing a positive time effect in G0 and bisected N-acetylglucosamine.
sialylation	decreased level	Immunoglobulin G		Immunoglobulin G				diagnostic|monitoring	age-related health concerns	Aging		Humans	plasma	Polysaccharides	38877341	Long-term stability analysis identified enduring age-related trends in both subjects, showing a negative time effect in G2 and sialylation.
Tn antigen	increased level	HPA		Antigens, Tumor-Associated, Carbohydrate				diagnostic|monitoring	adenocarcinomas	Neoplasms		Humans	primary tumors	Cell Line, Tumor	28155149	The snail lectin of Helix pomatia (HPA) binds N-acetylgalactosamine (GalNAc) that is expressed among others as Tn antigen (O-linked GalNAc) in primary tumors and metastases in several human adenocarcinomas.
complex β1-6 branched N-linked oligosaccharides	increased level	PHA-L		Lectins				diagnostic|monitoring	breast cancer|colon cancer|prostate cancer	Neoplasm Metastasis|Neoplasms		Humans	metastatic cancer cells		28155149	Another lectin, Phaseolus vulgaris leucoagglutinin (PHA-L) binds to complex β1-6 branched N-linked oligosaccharides associated with increased metastatic potential in breast, colon, and prostate cancer.
N-glycans	increased level	Immunoglobulin A		Immunoglobulin A				diagnostic				Humans	saliva	Saliva	30405629	This study lays the basis for future research into the functional role of salivary Ig glycosylation as well as its biomarker potential.
N-glycans	decreased level	Immunoglobulin G		Immunoglobulin G				diagnostic				Humans	plasma		30405629	This study lays the basis for future research into the functional role of salivary Ig glycosylation as well as its biomarker potential.
N-glycan core substitution	altered level	Glycoproteins		Glycoconjugates|Tumor Suppressor Proteins				diagnostic|prognostic	cancer	Tumor Suppressor Proteins		Humans	Glycoconjugates	Glycoconjugates	21265812	recent discoveries that even seemingly subtle changes in the glycan structure of glycoproteins, such as a N-glycan core substitution by a single sugar moiety, have far-reaching functional consequences.
N-glycans	increased level	Immunoglobulin G		Immunoglobulins				diagnostic|monitoring|prognostic	Post-Traumatic Stress Disorder	Stress Disorders, Post-Traumatic		Humans	plasma	Humans	31817821	Results showed that six plasma N-glycans (four increased and two decreased) were altered in PTSD vs. controls in both cohorts.
N-glycans	unaltered level	recombinant human chorionic gonadotropin beta (hCGβ)	CGB	Chorionic Gonadotropin, beta Subunit, Human	PNGase F		Glycoside Hydrolases					Humans	glycoprotein	Glycoproteins	22230788	Here we illustrate the use of glycosidases for the analysis of a model glycoprotein: recombinant human chorionic gonadotropin beta (hCGβ), which carries two N-glycans and four O-glycans.
branching	increased level	N-glycans		Glycoproteins				diagnostic|prognostic	pancreatic ductal adenocarcinoma	Carcinoma, Pancreatic Ductal		Humans	serum	Humans	32898301	In PDAC patients a higher level of branching (OR 6.19, P-value 9.21 × 10-11) of N-glycans was found.
fucosylation	increased level	N-glycans		Glycoproteins				diagnostic|prognostic	pancreatic ductal adenocarcinoma	Carcinoma, Pancreatic Ductal		Humans	serum	Humans	32898301	In PDAC patients a higher level of (antenna)fucosylation (OR 13.27, P-value 2.31 × 10-9) of N-glycans was found.
