glycan_entity	glycan_entity_change	glycoprotein_entity_name	glycoprotein_gene_name	glycoprotein_mapped	glycoenzyme_entity_name	glycoenzyme_gene_name	glycoenzyme_mapped	biomarker_role	disease_name	disease_mapped	medical_intervention	organism	specimen_type	specimen_mapped	pmid	sentence_in_abstract
GP20	increased level	Immunoglobulin G		Immunoglobulin G				predictive	esophageal squamous cell carcinoma	Esophageal Squamous Cell Carcinoma		Humans		Humans	36999031	The adjusted OR of GP20 (digalactosylated monosialylated biantennary with core and antennary fucose), IGP33 (the ratio of all fucosylated monosyalilated and disialylated structures), IGP44 (the proportion of high mannose glycan structures in total neutral IgG glycans), IGP58 (the percentage of all fucosylated structures in total neutral IgG glycans), IGP75 (the incidence of bisecting GlcNAc in all fucosylated digalactosylated structures in total neutral IgG glycans), and the glycan score are 4.03 (95% CI: 3.03-5.36, P<0.001), 0.69 (95% CI: 0.55-0.87, P<0.001), 0.56 (95% CI: 0.45-0.69, P<0.001), 0.52 (95% CI: 0.41-0.65, P<0.001), 7.17 (95% CI: 4.77-10.79, P<0.001), and 2.86 (95% CI: 2.33-3.53, P<0.001), respectively.
IGP33	decreased ratio	Immunoglobulin G		Immunoglobulin G				predictive	esophageal squamous cell carcinoma	Esophageal Squamous Cell Carcinoma		Humans		Humans	36999031	The adjusted OR of GP20 (digalactosylated monosialylated biantennary with core and antennary fucose), IGP33 (the ratio of all fucosylated monosyalilated and disialylated structures), IGP44 (the proportion of high mannose glycan structures in total neutral IgG glycans), IGP58 (the percentage of all fucosylated structures in total neutral IgG glycans), IGP75 (the incidence of bisecting GlcNAc in all fucosylated digalactosylated structures in total neutral IgG glycans), and the glycan score are 4.03 (95% CI: 3.03-5.36, P<0.001), 0.69 (95% CI: 0.55-0.87, P<0.001), 0.56 (95% CI: 0.45-0.69, P<0.001), 0.52 (95% CI: 0.41-0.65, P<0.001), 7.17 (95% CI: 4.77-10.79, P<0.001), and 2.86 (95% CI: 2.33-3.53, P<0.001), respectively.
IGP44	decreased level	Immunoglobulin G		Immunoglobulin G				predictive	esophageal squamous cell carcinoma	Esophageal Squamous Cell Carcinoma		Humans		Humans	36999031	The adjusted OR of GP20 (digalactosylated monosialylated biantennary with core and antennary fucose), IGP33 (the ratio of all fucosylated monosyalilated and disialylated structures), IGP44 (the proportion of high mannose glycan structures in total neutral IgG glycans), IGP58 (the percentage of all fucosylated structures in total neutral IgG glycans), IGP75 (the incidence of bisecting GlcNAc in all fucosylated digalactosylated structures in total neutral IgG glycans), and the glycan score are 4.03 (95% CI: 3.03-5.36, P<0.001), 0.69 (95% CI: 0.55-0.87, P<0.001), 0.56 (95% CI: 0.45-0.69, P<0.001), 0.52 (95% CI: 0.41-0.65, P<0.001), 7.17 (95% CI: 4.77-10.79, P<0.001), and 2.86 (95% CI: 2.33-3.53, P<0.001), respectively.
IGP58	decreased level	Immunoglobulin G		Immunoglobulin G				predictive	esophageal squamous cell carcinoma	Esophageal Squamous Cell Carcinoma		Humans		Humans	36999031	The adjusted OR of GP20 (digalactosylated monosialylated biantennary with core and antennary fucose), IGP33 (the ratio of all fucosylated monosyalilated and disialylated structures), IGP44 (the proportion of high mannose glycan structures in total neutral IgG glycans), IGP58 (the percentage of all fucosylated structures in total neutral IgG glycans), IGP75 (the incidence of bisecting GlcNAc in all fucosylated digalactosylated structures in total neutral IgG glycans), and the glycan score are 4.03 (95% CI: 3.03-5.36, P<0.001), 0.69 (95% CI: 0.55-0.87, P<0.001), 0.56 (95% CI: 0.45-0.69, P<0.001), 0.52 (95% CI: 0.41-0.65, P<0.001), 7.17 (95% CI: 4.77-10.79, P<0.001), and 2.86 (95% CI: 2.33-3.53, P<0.001), respectively.
IGP75	increased level	Immunoglobulin G		Immunoglobulin G				predictive	esophageal squamous cell carcinoma	Esophageal Squamous Cell Carcinoma		Humans		Humans	36999031	The adjusted OR of GP20 (digalactosylated monosialylated biantennary with core and antennary fucose), IGP33 (the ratio of all fucosylated monosyalilated and disialylated structures), IGP44 (the proportion of high mannose glycan structures in total neutral IgG glycans), IGP58 (the percentage of all fucosylated structures in total neutral IgG glycans), IGP75 (the incidence of bisecting GlcNAc in all fucosylated digalactosylated structures in total neutral IgG glycans), and the glycan score are 4.03 (95% CI: 3.03-5.36, P<0.001), 0.69 (95% CI: 0.55-0.87, P<0.001), 0.56 (95% CI: 0.45-0.69, P<0.001), 0.52 (95% CI: 0.41-0.65, P<0.001), 7.17 (95% CI: 4.77-10.79, P<0.001), and 2.86 (95% CI: 2.33-3.53, P<0.001), respectively.
glycans	undetermined							diagnostic|prognostic|predictive	Prostate cancer	Prostatic Neoplasms		Humans	exosomes	Exosomes	30451032	This review details the potential of glycans-based biomarkers to become diagnostic, prognostic, predictive and therapeutic PCa biomarkers with a brief description of the innovative approaches applied to glycan analysis to date.
glycans	undetermined							monitoring	Prostate cancer	Prostatic Neoplasms		Humans			30451032	The summary provided in this review paper suggests that glycan-based biomarkers can offer high-assay accuracy not only for diagnostic purposes but also for monitoring/surveillance of the PCa disease.
glycans	undetermined			Polysaccharides				diagnostic	prostate cancer	Prostatic Neoplasms		Humans		Humans	37767873	How glycomic studies can impact on prostate cancer.
α1,3-fucosylation	decreased level	mesoderm-specific transcript			fucosyltransferase IV		FUT4 protein, human|Fucosyltransferases	diagnostic	pregnancy failure		infertility treatment	Humans	villus tissues		37798282	By Lectin array, we discovered the decreased α1,3-fucosylation, especially difucosylated Lewis Y (LeY) glycan, in the villus tissues of miscarriage patients when compared with normal pregnancy women.
difucosylated Lewis Y (LeY) glycan	decreased level	mesoderm-specific transcript			fucosyltransferase IV		FUT4 protein, human|Fucosyltransferases	diagnostic	pregnancy failure		infertility treatment	Humans	villus tissues		37798282	By Lectin array, we discovered the decreased α1,3-fucosylation, especially difucosylated Lewis Y (LeY) glycan, in the villus tissues of miscarriage patients when compared with normal pregnancy women.
N-linked glycosylation	undetermined							diagnostic	Congenital disorders of glycosylation	Congenital Disorders of Glycosylation		Humans	Brain abnormalities	Brain abnormalities	36255677	Then, the occurrence of various neurological constellation of abnormalities (for example: epilepsy, brain anomalies on neuroimaging, ataxia, stroke-like episodes, autistic features) in different CDG types are discussed followed by data on possible biomarkers and limited treatment options.
O-linked glycosylation	undetermined							diagnostic	Congenital disorders of glycosylation	Congenital Disorders of Glycosylation		Humans	Brain abnormalities	Brain abnormalities	36255677	Then, the occurrence of various neurological constellation of abnormalities (for example: epilepsy, brain anomalies on neuroimaging, ataxia, stroke-like episodes, autistic features) in different CDG types are discussed followed by data on possible biomarkers and limited treatment options.
Core 1	acquisition of structure	mucin		Mucins								eukaryotic cells			31500407	We find that the extension of the immature α-GalNAc Tn-antigen to Core 1 and Core 2 glycan structures depends on the underlying peptide backbone sequence.
Core 2	acquisition of structure	mucin		Mucins								eukaryotic cells			31500407	We find that the extension of the immature α-GalNAc Tn-antigen to Core 1 and Core 2 glycan structures depends on the underlying peptide backbone sequence.
fucosylation	decreased level							prognostic|risk	COVID-19	COVID-19		Humans	plasma		37342334	Specifically, levels of fucosylation and galactosylation decreased with increasing severity and Fuc1Hex5HexNAc5 was identified as the most suitable biomarker to stratify patients at diagnosis and distinguish mild from critical outcomes.
galactosylation	decreased level							prognostic|risk	COVID-19	COVID-19		Humans	plasma		37342334	Specifically, levels of fucosylation and galactosylation decreased with increasing severity and Fuc1Hex5HexNAc5 was identified as the most suitable biomarker to stratify patients at diagnosis and distinguish mild from critical outcomes.
Fuc1Hex5HexNAc5	decreased level							prognostic|risk	COVID-19	COVID-19		Humans	plasma		37342334	Specifically, levels of fucosylation and galactosylation decreased with increasing severity and Fuc1Hex5HexNAc5 was identified as the most suitable biomarker to stratify patients at diagnosis and distinguish mild from critical outcomes.
fucosylation on IgG1	altered level	IgG1		Immunoglobulin G				risk	latent tuberculosis	Latent Tuberculosis		Humans	blood	Humans	38309308	Additional glycosylation features at higher prevalence in LTBI individuals with high expression of the IFN-risk signature prior to treatment included fucosylation on IgG1, IgG2 and IgG3.
fucosylation on IgG2	altered level	IgG2		Immunoglobulin G				risk	latent tuberculosis	Latent Tuberculosis		Humans	blood	Humans	38309308	Additional glycosylation features at higher prevalence in LTBI individuals with high expression of the IFN-risk signature prior to treatment included fucosylation on IgG1, IgG2 and IgG3.
fucosylation on IgG3	altered level	IgG3		Immunoglobulin G				risk	latent tuberculosis	Latent Tuberculosis		Humans	blood	Humans	38309308	Additional glycosylation features at higher prevalence in LTBI individuals with high expression of the IFN-risk signature prior to treatment included fucosylation on IgG1, IgG2 and IgG3.
fucosylated glycan	altered level	PD-1		Programmed Cell Death 1 Receptor				diagnostic	non-small-cell lung cancer	Carcinoma, Non-Small-Cell Lung		Humans	blood		38176728	We then provide evidence that the concentration of fucosylated PD-1 in the blood of non-small-cell lung cancer patients varies across different stages of disease.
mucin 1	altered level	mucin 1		Mucin-1				diagnostic	breast cancer	Breast Neoplasms		human	serum		34423573	Detection of mucin 1 and mucin 16 glycosylation with wheat germ agglutinin, and detection of the extracellular vesicle-associated CD63 were found to have better diagnostic ability for localized breast cancer than the conventional assays for mucin 1 and mucin 16 based tumor markers when the receiver operating characteristics were compared.
mucin 16	altered level	mucin 16		CA-125 Antigen				diagnostic	breast cancer	Breast Neoplasms		human	serum		34423573	Detection of mucin 1 and mucin 16 glycosylation with wheat germ agglutinin, and detection of the extracellular vesicle-associated CD63 were found to have better diagnostic ability for localized breast cancer than the conventional assays for mucin 1 and mucin 16 based tumor markers when the receiver operating characteristics were compared.
	undetermined								Liver Cirrhosis	Liver Cirrhosis	Liver Transplantation	Humans		Humans	33111474	
	undetermined							diagnostic	ocular allergy			Humans	Tears	Humans|Tears	33825208	Glycomics in tears: seeking for new biomarkers for ocular allergy diagnosis.
site-specific glycoforms	altered level	Carcinoembryonic antigen		Carcinoembryonic Antigen				diagnostic|prognostic	colorectal cancers			Humans	plasma		37820924	Differential site-specific glycoforms of plasma CEA were observed in patients with colorectal cancers (CRCs) and lung cancer.
site-specific glycoforms	altered level	Carcinoembryonic antigen		Carcinoembryonic Antigen				diagnostic|prognostic	lung cancer	Lung Neoplasms		Humans	plasma		37820924	Differential site-specific glycoforms of plasma CEA were observed in patients with colorectal cancers (CRCs) and lung cancer.
apoC-III0a	increased level	apolipoprotein C-III						diagnostic	COG5-CDG			Humans	serum		28444691	When compared with age-matched controls, COG5-CDG showed a significant increase of apoC-III0a (aglycosylated glycoform), whereas apoC-III1 (mono-sialylated glycoform) decreased significantly.
apoC-III1	decreased level	apolipoprotein C-III						diagnostic	COG5-CDG			Humans	serum		28444691	When compared with age-matched controls, COG5-CDG showed a significant increase of apoC-III0a (aglycosylated glycoform), whereas apoC-III1 (mono-sialylated glycoform) decreased significantly.
undersialylated and undergalactosylated biantennary and triantennary glycans	altered level							diagnostic	COG5-CDG			Humans	serum		28444691	Serum N-glycome of COG5-CDG patients was characterized by the relative abundance of undersialylated and undergalactosylated biantennary and triantennary glycans as well as slight increase of high-mannose structures and hybrid glycans.
high-mannose structures and hybrid glycans	increased level							diagnostic	COG5-CDG			Humans	serum		28444691	Serum N-glycome of COG5-CDG patients was characterized by the relative abundance of undersialylated and undergalactosylated biantennary and triantennary glycans as well as slight increase of high-mannose structures and hybrid glycans.
N-glycan	altered level							predictive|prognostic	inflammatory bowel disease	Inflammatory Bowel Diseases	biologics or surgery	Humans	serum		36694402	We investigated a composite serum N-glycomic biomarker to predict future disease course in a discovery cohort of 244 newly diagnosed IBD patients.
N-glycan	undetermined							diagnostic	disease			Human	blood plasma	Humans	34611874	There is increasing interest in the scientific community to identify potential glycan biomarkers or glycan features that are indicative of disease, and in particular disease at an early stage.
glycan	altered level							diagnostic|prognostic	cancer			human			33404348	Since the alterations on the glycan compositions or/and structures (i.e., glycosylation, sialylation, and fucosylation) are common features of tumorigenesis, glycomics becomes an emerging field examining the structure and function of glycans.
glycan	altered level							diagnostic|prognostic	cancer			human			33404348	Therefore, studying glycans holds great potential for better diagnostic markers as well as developing more efficient treatment strategies in human cancers.
N-glycans	altered level	viral envelope glycoproteins		CD163 Antigen					Porcine reproductive and respiratory syndrome	Porcine Reproductive and Respiratory Syndrome		Swine	Cell Line	Cell Line	38776134	Our results showed that removal or alteration of N-glycans from PRRSV affected virus infection.
complex N-glycans	acquisition of structure	viral envelope glycoproteins		CD163 Antigen					Porcine reproductive and respiratory syndrome	Porcine Reproductive and Respiratory Syndrome		Swine	Cell Line	Cell Line	38776134	Specifically, we found that complex N-glycans are required for an efficient infection in cell cultures.
high mannose type glycans	acquisition of structure	viral envelope glycoproteins		CD163 Antigen					Porcine reproductive and respiratory syndrome	Porcine Reproductive and Respiratory Syndrome		Swine	Cell Line	Cell Line	38776134	Furthermore, we found that presence of high mannose type glycans on PRRSV surface is the minimal requirement for a productive viral infection.
mucin-type O-glycosylation	altered level				polypeptide GalNAc-transferases		GALNT|GalNAc-T		cancers			humans		Humans	32681163	The abnormal expression of various polypeptide GalNAc-transferases (GalNAc-Ts) which initiate and define sites of O-glycosylation are linked to many cancers and other diseases.
mucin-type O-glycosylation	altered level				polypeptide GalNAc-transferases		GALNT|GalNAc-T		other diseases			humans		Humans	32681163	The abnormal expression of various polypeptide GalNAc-transferases (GalNAc-Ts) which initiate and define sites of O-glycosylation are linked to many cancers and other diseases.
N-glycans	altered level	EG2-hFc|rituximab|polyclonal antibodies|total glycoproteins		Antibodies, Monoclonal|Antibodies, Monoclonal|Antibodies, Monoclonal|Glycoproteins				diagnostic	clinical disease			Human|Chinese Hamster Ovary cells	serum|CHO cells	Humans|CHO Cells	33891963	This improved technology provides a powerful tool in support of rapid advancement of glycan analysis for biopharmaceutical development and biomarker discovery for clinical disease diagnosis.
α-2,6 sialic acid	altered level	free prostate specific antigen		Prostate-Specific Antigen				diagnostic|prognostic	prostate cancer	Prostatic Neoplasms		Humans		Humans	27767199	PSA is routinely used as a biomarker of prostate cancer (PCa) and the glycosylation status of PSA is a more specific marker of disease progress than only the PSA level.
sialyllactose	increased level							diagnostic	gastric cancer			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
sialyllactose	increased level							diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
sialyllactose	increased level							diagnostic	cholangiocarcinoma			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
sialyl Lewis X	increased level							diagnostic	gastric cancer			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
sialyl Lewis X	increased level							diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
sialyl Lewis X	increased level							diagnostic	cholangiocarcinoma			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans	increased level							diagnostic	gastric cancer			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans	increased level							diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans	increased level							diagnostic	cholangiocarcinoma			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X	increased level							diagnostic	gastric cancer			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X	increased level							diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X	increased level							diagnostic	cholangiocarcinoma			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans	increased level							diagnostic	gastric cancer			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans	increased level							diagnostic	pancreatic cancer	Pancreatic Neoplasms		Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans	increased level							diagnostic	cholangiocarcinoma			Humans	urine		33135073	Representative structures of glycans with elevated levels in cancer patients included the following: small glycans related to sialyllactose; sialyl Lewis X; lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans with LacNAc (type-I or II)-extensions and modifications of α1,3/4-fucose and/or 6-sulfate on the Glc/GlcNAc; free-N-glycans containing sialylation or β1,6-branch of 6-sulfo Lewis X; novel NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc glycans.
Core 1/Core 3 O-glycosylation	increased level							diagnostic|monitoring	osteoarthritis	Osteoarthritis		horse	carpal synovial fluid	Synovial Fluid	33587757	Lectin microarrays identified distinct glycosylation patterns between healthy and OA synovial fluid, including increased Core 1/Core 3 O-glycosylation, increased α-2,3 sialylation and decreased α-1,2 fucosylation in OA.
α-2,3 sialylation	increased level							diagnostic|monitoring	osteoarthritis	Osteoarthritis		horse	carpal synovial fluid	Synovial Fluid	33587757	Lectin microarrays identified distinct glycosylation patterns between healthy and OA synovial fluid, including increased Core 1/Core 3 O-glycosylation, increased α-2,3 sialylation and decreased α-1,2 fucosylation in OA.
α-1,2 fucosylation	decreased level							diagnostic|monitoring	osteoarthritis	Osteoarthritis		horse	carpal synovial fluid	Synovial Fluid	33587757	Lectin microarrays identified distinct glycosylation patterns between healthy and OA synovial fluid, including increased Core 1/Core 3 O-glycosylation, increased α-2,3 sialylation and decreased α-1,2 fucosylation in OA.
core 1 sialylated O-glycans	increased level	EGFR		EGFR protein, human	ST3Gal1				ER-positive breast carcinoma	Breast Neoplasms		Humans	breast cancer cells	Breast Neoplasms	32776095	MMP10, the principal gene upregulated when cells carrying sialylated core 1 glycans were stimulated with EGF, is also upregulated in ER-positive breast carcinoma reported to express high levels of ST3Gal1 and hence mainly core 1 sialylated O-glycans.
core 2 O-glycans	increased level	EGFR		EGFR protein, human					ER-negative breast carcinomas	Breast Neoplasms		Humans	breast cancer cells	Breast Neoplasms	32776095	In contrast, isogenic cells engineered to carry core 2 glycans upregulate CX3CL1 and FGFBP1 and these genes are upregulated in ER-negative breast carcinomas, also known to express longer core 2 O-glycans.
