glytoucan_ac	term	synonyms	term_in_sentence	publication	definition	term_xref	function	disease_associations	wikipedia	essentials_of_glycobiology	xref_key	xref_id
G80722US	6-Sulfo Sialyl Lewis x	6-sulfo SLex|6-Sulfo-sialyl Lewis x|6-sulfo SLe^x	The cognate ligands for L-selectin possess the unusual sulfated tetrasaccharide epitope 6-sulfo sialyl Lewis x (Siaalpha2--&gt;3Galbeta1--&gt;4[Fucalpha1--&gt;3][SO(3)--&gt;6]GlcNAc).[PMID:11331001]	11331001|2288521|26137907|9400621|9556613|15972893|9015359|22691873|18652681|9722682|10435581|19359410|15228275|18250165|10536036|17944600|10460836|27993973|19149511|19150806|17172261|17142960|27956273|7578028|22260995|24519996|21596021|21982762|21775439|17334369|9710564|14593101|16227985|11895802|22750968|15157883|19067429		GlycoMotif:GGM.000027|GlycoEpitope:EP0015|CID:70698321|CHEBI:71628	lymphocyte homing[GlycoEpitope:EP0015]			Chapter 34|Chapter 35	glycan_xref_dictionary	GSD000188
G00672PE	6'-Sulfo Sialyl Lewis x	6'-sulfated sialyl Lewis x-|6'-sulfo-sLe(x)|Su-SaiLex|Su-Slex|6'-Sulfo-sialyl Lewis x	"Studies using sulfotransferase-deficient mice showed that 6-sulfo sialyl Lewis X (6-sulfo sLe(x)), a major ligand for L-selectin that is expressed on the high endothelial venules (HEVs), plays critical roles in lymphocyte homing to the peripheral lymph nodes.[PMID:2288521]"	2288521|26137907|9400621|32744401|9556613|15972893|9015359|22691873|18652681|9722682|10435581|19458105|19359410|15228275|18250165|10536036|17944600|10460836|27993973|19149511|19150806|17172261|17142960|27956273|7578028|22260995|24519996|21596021|21982762|21775439|17334369|9710564|14593101|16227985|11895802|22750968|15157883|19067429	"A branched amino tetrasaccharide comprised of a trisaccharide chain of N-acetyl-α-neuraminic acid, 6-O-sulfo-β-D-glactose and N-acetyl-β-D-glucosamine residues linked sequentially (2→3) and (1→4), to the GlcNAC residue of which is also linked (1→3) an α-L-fucose residue.[CHEBI:71558]"	GlycoMotif:GGM.000025|GTC:G00672PE|CID:70698387|GlycoEpitope:EP0014|CHEBI:71558|SugarBind_Ligand:128	lymphocyte homing[GlycoEpitope:EP0014]	Influenza[SugarBind_Ligand:128]		Chapter 14	glycan_xref_dictionary	GSD000011
G74121RX	9-O-Acetyl GD3	acGD3|9-O-Acetylated GD3|9-O-Acetyl-GD3|9-O-Ac-GD3|CD60b	"To determine whether 9-O-acetyl GD3 (acGD3) has a general antiapoptotic potential, the apoptosis-sensitive Jurkat cell line and an apoptosis-sensitive variant of the cell line Molt-4 were preincubated with micromolar concentrations of acGD3 and then treated with inducers of apoptosis.[PMID:16432837]"	16432837|21507905|17512674|21930212|18194438|20739294|3216430|14724245|31373393|7558412|11273644|17385751|30694652|22894715|12973826|7859075|9749956|9874495|12486096|1989525|25330147|23478187|21807667|8486686|11465673|9511990|29270199|9268945|25045067|21618115|16434401|12493756|2302705|2198284|2685488|9328574|4055789|10096568|1644805|2582447		GTC:G74121RX|GlycoEpitope:EP0064|CID:91852520|GlycoMotif:GGM.000093		pancreas cancer[GlycoEpitope:EP0064]			glycan_xref_dictionary	GSD000012
G47325QT	9-O-Acetyl sialic acid		Levels of 9-O-acetyl sialic acid provide a distinct way to define progenitors and thus facilitate the study of hematopoietic differentiation.[PMID:31411667]	31411667|27936566|2509478|10049046|1826463	N-acetyl-9-O-acetyl-alpha-neuraminic acid is a member of the class of N-acetylneuraminic acids that is alpha-neuraminic acid which has acetylated on N-5 and O-9. It has functional parent alpha-neuraminic acid.[CHEBI:84941]	GTC:G47325QT|GlycoEpitope:EP0065|CID:13991612|CHEBI:84941				Chapter 15	glycan_xref_dictionary	GSD000013
G24432YB	Alpha-gal antigen	a-Gal antigen	"Therefore, alpha-gal antigen might be eliminated after a prolonged culture, when using human cells.[PMID:31267683]"	31267683|29319188|29481481|26140655|30337555|29235434|22909134|28280265|7532618|23390540|22808845|29898796|22262104|31267683|25430953|22993330|23578170|21043478|28294277|27696820|15814276|17991149|25577211|30578545|19895316|28068870|18546155|32907757|26485996|9771839|12042247|27567275|12131678|23114154|19184002|29577591|29806570|15638815|21118731	A glycosylgalactose that consists of β-D-galactose having an α-D-galactosyl residue at the 3-position.[CHEBI:62330]	GTC:G24432YB|GlycoMotif:GGM.000015|CID:52939789|CHEBI:62330	"Has role as a carbohydrate allergen, epitope or an antigen.[CHEBI:62330]"			Chapter 14	glycan_xref_dictionary	GSD000016
G21856LC	Asialo-GM1	as-GM1|GA-1|Gangliotetraosylceramide|GgO4|Gg4|Asialo-GM1a|ganglio-N-tetraosylceramide	"We compared the lateral structure of giant unilamellar vesicles (GUVs) composed of three pseudo binary mixtures of different glycosphingolipid (GSL), i.e. sulfatide, asialo-GM1 or GM1, with POPC.[PMID:29106974]"	29106974|3418980|26975993|8613364|9288228|26710925|24922516|6839313|1828259|2581667|8210226|25062498|9671150|10377092|6171919|3093429|6652964|3124753|8905612|18788941|1467432|8225593|2083955|6171918|7806377|1802483|7927723|9209156|21174147|2584393|12137200|6175621|2936802|8610366|21490162|1548508|3486908|26453755|7910939|3756909|1639356|3259967|2443562|3112077|2572647|25137483|2168971|6950172		GlycoMotif:GGM.000099|GTC:G21856LC|CID:10169040|GlycoEpitope:EP0047|CHEBI:59216		Pleuropneumonia[SugarBind_Ligand:2]|Porcine fibrinohemorrhagic necrotizing pleuropneumonia[SugarBind_Ligand:2]|Actinomycosis[SugarBind_Ligand:2]|Lazy leukocyte syndrome[SugarBind_Ligand:2]|Pertussis[SugarBind_Ligand:2]|Cutaneous lesions[SugarBind_Ligand:2]|Melioidosis[SugarBind_Ligand:2]|Candidiasis[SugarBind_Ligand:2]|Taiwan acute respiratory agent[SugarBind_Ligand:2]|Trachoma[SugarBind_Ligand:2]|Cystitis[SugarBind_Ligand:2]|Chronic gastritis[SugarBind_Ligand:2]|Peptic ulcers[SugarBind_Ligand:2]|Gastric cancer[SugarBind_Ligand:2]|Klebsiella pneumonia infection[SugarBind_Ligand:2]|Pneumonia[SugarBind_Ligand:2]|Legionnaires' disease[SugarBind_Ligand:2]|Gonorrhea[SugarBind_Ligand:2]|Gastroenteritis[SugarBind_Ligand:2]|Toxoplasmosis[SugarBind_Ligand:2]|Plague[SugarBind_Ligand:2]|Diarrhea[SugarBind_Ligand:2]			glycan_xref_dictionary	GSD000019
G72557NR	B-GD1B	B-GD1b	The Molecular Modelling and 10 ns MD simulation of Botulinum Neuro Toxin/B-GD1A and BoNT/B-GD1B complex revealed that this toxin can interact with GD1A in the single binding mode and with GD1B in two binding modes.[PMID:22929125]	27956354|22929125		GlycoMotif:GGM.000104|GTC:G72557NR|CID:91847819|KEGG:G01803|CHEBI:153361					glycan_xref_dictionary	GSD000020
G11485ID	B-GM1		"The contribution of GM3 and GD3, which accounted for 95% of the ganglioside sialic acid at birth, decreased during the first 3 weeks of life. GM1, fucosyl-GM1, and B-GM1 were not detected at birth. [PMID: 3680254]"	3680254	"(2S,4S,5R,6R)-5-Acetamido-2-[(2R,3S,4R,5R,6S)-3-[(2S,3R,4R,5R,6R)-3-acetamido-5-hydroxy-4-[(2R,3R,4S,5S,6R)-5-hydroxy-6-(hydroxymethyl)-4-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid is a member of neuraminic acids.[CHEBI:147588]"	GlycoMotif:GGM.000102|GTC:G11485ID|CID:91853157|CHEBI:147588|SugarBind_Ligand:181		Cholera[SugarBind_Ligand:181]		Chapter 37	glycan_xref_dictionary	GSD000021									
G66163TI	Blood group A (Type 1)	Blood group A(1)|blood group A antigen type 1	"he basis of blood group A(1) and A(2) phenotypes has been debated for many decades, and still the chemical basis is unresolved. [PMID:19121199]"	10942408|19121199	An α-D-GalpNAc-(1→3)-[α-L-Fucp-(1→2)]-β-D-Galp-(1→3)-D-GlcpNAc having β-configuration at the reducing end anomeric centre.[CHEBI:62485]	GlycoMotif:GGM.000044|GTC:G66163TI|GlycoEpitope:EP0256|CID:53262359|CHEBI:62485					glycan_xref_dictionary	GSD000030
G97501MA	Blood group A (Type 1) - Lewis b	Blood Group A Type 1 (difucosyl)|ALe^b|A-Leb|A-Le^b|A Lewis b	"Ten monoclonal antibodies and one lectin were used to study the localization and distribution of Blood Group ABH, type 1 chain (Lewis a, Lewis b) and type 2 chain (H-2, Y) antigens in 22 cases of normal uterine cervix, with known ABO and Lewis phenotype and secretor status.[PMID:2247887]"	2247887|19756298|4041428|5686860	A branched amino pentasaccharide consisting of the linear trisaccharide N-acetyl-α-D-galactosaminyl-(1→3)-β-D-galactosyl-(1→3)-N-acetyl-β-D-glucosamine having α-L-fucosyl residues attached at position 2 of the galactose and position 4 of the glucosamine. Corresponds to a partial structure of blood group A type 1 oligosaccharide.[CHEBI:62988]	GlycoMotif:GGM.000047|CID:53477630|CHEBI:62988|GlycoEpitope:EP0260					glycan_xref_dictionary	GSD000190
G74353FF	Blood group A (Type 2)	A Type 2|Blood group A type 2 chain	"One hybridoma antibody (AH16), obtained on immunization with human gastric cancer cell MKN45, was directed to the blood group A determinant carried by both type 1 and type 2 chains. [PMID:6583282]"	27196314|6583282|8340255|18701592|21901093|2413709|8036794|1615929|3285099	A branched amino tetrasaccharide comprising N-acetyl-β-D-glucosamine at the reducing end with a N-acetyl-α-D-galactosaminyl-(1→3)-[α-L-fucosyl-(1→2)]-β-D-galactosyl moiety attached at the 4-position.[CHEBI:62486]	GTC:G74353FF|CID:53262376|GlycoEpitope:EP0257|CHEBI:62486|GlycoMotif:GGM.000038				Chapter 14	glycan_xref_dictionary	GSD000014
G54826OZ	Blood group A (Type 2) - Lewis y	Blood group A (type 2) (A-Ley)|Blood Group A Type 2 (difucosyl)|Blood group A (type 2) (A-Lewis Y)|A-Ley|A-Le^y	Monoclonal antibodies defining blood group A variants with difucosyl type 1 chain (ALeb) and difucosyl type 2 chain (ALey).[PMID:2417620]	2417620	A branched amino pentasaccharide consisting of the linear trisaccharide N-acetyl-α-D-galactosaminyl-(1→3)-β-D-galactosyl-(1→4)-N-acetyl-β-D-glucosamine having α-L-fucosyl residues attached at position 2 of the galactose and position 3 of the glucosamine. Corresponds to a partial structure of blood group A type 2 oligosaccharide.[CHEBI:62990]	GlycoEpitope:EP0261|GTC:G54826OZ|CHEBI:62990|CID:5289011|GlycoMotif:GGM.000039					glycan_xref_dictionary	GSD000027
G99315PE	Blood group A (Type 3)	A type 3 antigen|blood group A type 3|A antigen (type 3)		7800218|17998569|19756298|3191504		GlycoMotif:GGM.000011|GTC:G99315PE				Chapter 14	glycan_xref_dictionary	GSD000187
G37830TX	Blood group A (Type 4)		"Moreover, we have found that αGal, but not αGalNAc, is a weak binder itself for DC-SIGN, which could endow an additional binding mode for the blood group B antigen, but not for blood group A.[PMID:31283166]"	7800218|7521740|2458640|31283166		GlycoMotif:GGM.000088|GTC:G37830TX|CID:91852258|KEGG:G00474|CHEBI:150159|SugarBind_Ligand:48		Pyelonephritis[SugarBind_Ligand:48]|Acute cystitis[SugarBind_Ligand:48]			glycan_xref_dictionary	GSD000028
G44060QH	Blood group A1 (Type 3)	Blood group A1 (type 3)|Blood Group A1	The structure is essentially a repetitive A epitope attached to type 2 chain and is hereby called type 3 chain A. [PMID:2579390]	2579390|19756298	A branched amino heptasaccharide made up from two repeating (1→3)-linked N-acetyl-α-D-galactosaminyl-(1→3)-[α-L-fucosyl-(1→2)]-β-D-galactosyl units that are in turn joined to an N-acetyl-β-D-glucosamine residue via a (1→4)-linkage.[CHEBI:85665]	GTC:G44060QH|CHEBI:85665|CID:91825676|GlycoMotif:GGM.000040					glycan_xref_dictionary	GSD000031
G62735WZ	Blood group A2 (A-associated H type 3)	Blood Group A2|Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb|Fuc(a1-2)Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)b-GlcNAc|Fucalpha1-2Galbeta1-3GalNAcalpha1-3(Fucalpha1-2)Galbeta1-4GlcNAcbeta|6-deoxy-alpha-L-galacto-hexopyranosyl-(1→2)-beta-D-galacto-hexopyranosyl-(1→3)-2-acetamido-2-deoxy-alpha-D-galacto-hexopyranosyl-(1→3)-[6-deoxy-alpha-L-galacto-hexopyranosyl-(1→2)]-beta-D-galacto-hexopyranosyl-(1→4)-2-acetamido-2-deoxy-beta-D-gluco-hexopyranose|6-deoxy-alpha-L-galactopyranosyl-(1→2)-[6-deoxy-alpha-L-galactopyranosyl-(1→2)-beta-D-galactopyranosyl-(1→3)-2-acetamido-2-deoxy-alpha-D-galactopyranosyl-(1→3)]-beta-D-galactopyranosyl-(1→4)-2-acetamido-2-deoxy-beta-D-glucopyranose	The H NMR spectrum of the associated H antigen (type 3 chain H) was characterized by the unusual presence of three n-anomeric resonances ('CJ'.~ = 3-4 Hz) in addition to five resonances from @-anomeric protons ('J1:2 = 7-9 Hz).[PMID: 3944091]	3944091|29000000|28658771	A branched amino hexasaccharide in which an α-L-fucosyl-(1→2)-β-D-galactosyl-(1→3)-N-acetyl-α-D-galactosaminyl-(1→3)-β-D-galactosyl-(1→4)-N-acetyl-β-D-glucosamine linear pentasaccharide carries at the galactose residue proximal to the reducing end a second α-L-fucosyl residue via a (1→2) linkage.[CHEBI:152543]	CHEBI:152543|CID:91852328|GlycoMotif:GGM.000041|GTC:G62735WZ					glycan_xref_dictionary	GSD000032
G31734OS	Blood group B (Type 1)	blood group B type 1 tetrasaccharide	"The minimal binding epitope was identified as the blood group H type 1 determinant (Fucα2Galβ3GlcNAc), while an optimal binding epitope was created by addition of the terminal α3-linked galactose or N-acetylgalactosamine of the blood group B type 1 determinant (Galα3(Fucα2)Galβ3GlcNAc) and the blood group A type 1 determinant (GalNAcα3(Fucα2)-Galβ3GlcNAc). [PMID: 19208633]"	18701592|24749871|19387828|19208633|29562255	α-D-Galp-(1→3)-[α-L-Fucp-(1→2)]-β-D-Galp-(1→3)-β-D-GlcpNAc with β configuration at the anomeric carbon of the GlcNAc residue at the reducing end.[CHEBI:63242]	GlycoMotif:GGM.000043|GTC:G31734OS|CID:56927779|CHEBI:63242					glycan_xref_dictionary	GSD000033
G89208KM	Blood group B (Type 1) - Lewis b	"Blood Group B, type 1 chain (Lewis b)|B-Leb|B-Le^b"	"Ten monoclonal antibodies and one lectin were used to study the localization and distribution of Blood Group ABH, type 1 chain (Lewis a, Lewis b) and type 2 chain (H-2, Y) antigens in 22 cases of normal uterine cervix, with known ABO and Lewis phenotype and secretor status. [PMID:2247887]"	2247887|19756298|30831115		GlycoMotif:GGM.000046					glycan_xref_dictionary	GSD000189
G34881WK	Blood group B (Type 2)	blood group B type 2	The detection of a B type 2 determinant is the first chemical evidence for the presence of an autologous difucosyl blood group B type 2 antigen in human adenocarcinoma cells.[PMID:2432062]	2432062|27196314|18701592		GlycoMotif:GGM.000037|GTC:G34881WK|GlycoEpitope:EP0262					glycan_xref_dictionary	GSD000034
G25216QA	Blood group B (Type 4)		The blood group B type-4 heptaglycosylceramide is a minor blood group B structure in human B kidneys in contrast to the corresponding A type-4 compound in A kidneys.[PMID:1390942]	1390942|1841684		GlycoMotif:GGM.000087|GTC:G25216QA					glycan_xref_dictionary	GSD000035
G00294TN	Blood group H (Type 1)	H type 1	"Blood group H type 1 [Fuc alpha (1,2)Gal beta (1,3)GlcNAc beta--&gt;] is known as the precursor structure of the blood group determinant, Lewis b [Fuc alpha (1,2)Gal beta (1,3)(Fuc alpha (1,4))GlcNAc beta--&gt;].[PMID:7718581]"	7718581|6309836|19208633|27431816|2432062|24219248|6352465|8499478|3348768|3718924		GTC:G00294TN|GlycoMotif:GGM.000042|SugarBind_Ligand:153		Gastroenteritis[SugarBind_Ligand:153]			glycan_xref_dictionary	GSD000036
G70519XK	Blood group H (Type 2)	Blood group H (type 2)|H type 2|H type 2 chain|H type 2 antigen|type 2 chain H|blood group H type II	"We have examined the immunohistochemical distribution of H Type 1 and of H Type 2 substances of the ABO blood group system in human submandibular gland using either of the two anti-H monoclonal antibodies MAb 1E3 and MAb 3A5. MAb 3A5 was specific for H Type 2, and MAb 1E3 reacted with each of H Type 1-H Type 4 artificial antigens.[PMID:9405495]"	9405495|8082855|6177241|3944092|21406562|2410664|8731502|6203846|2238560|		GTC:G70519XK|GlycoMotif:GGM.000036					glycan_xref_dictionary	GSD000037
