source_term	target_term	source_term_frequency	glytoucan_ac	mapping_flag	mapping_score
sialylated N-glycans		7			0
Le(y)	Lewis y	7	G00052MO	gsd_strict	2
GM3	GM3	7	G91237TK	gsd_strict	2
core 2 O-glycans	Core 2	7	G00033MO	gsd_strict	2
O-GlcNAcylation		7			0
sialyl-Lewis(x)	Sialyl Lewis x	7	G00054MO	gsd_strict	2
N-acetylgalactosamine (GalNAc)		6			0
sialyl Lewis a	Sialyl Lewis a	6	G00053MO	gsd_strict	2
bisecting N-acetylglucosamine		6			0
α2,3-linked sialic acid		6			0
Lewis Y	Lewis y	6	G00052MO	gsd_strict	2
LewisX	Lewis x	6	G00051MO	gsd_strict	2
Sialyl Lewis X	Sialyl Lewis x	6	G00054MO	gsd_strict	2
glycan shield		6			0
sialosyl-Tn	Sialyl-Tn antigen	6	G36123IU	gsd_strict	2
galectin-3		6			0
pentosidine		6			0
sialyl-Tn (STn)		6			0
sialyl-Lewis a	Sialyl Lewis a	6	G00053MO	gsd_strict	2
sialyl Lewis(x)		6			0
CA19-9	Sialyl Lewis a	6	G00053MO	gsd_strict	2
N-linked glycosylation sites		6			0
glycosylphosphatidylinositol (GPI)	GPI anchors	6		gsd_strict	2
anti-laminaribioside		6			0
anti-chitobioside		6			0
anti-mannobioside		6			0
galectin-1		6			0
fucosylated glycan		5			0
polylactosamine		5			0
IgG N-glycans		5			0
Mac-2 binding protein glycosylation isomer		5			0
N-glycan structures	N-linked glycans	5	G78059CC	gsd_loose	2
N-glycome		5			0
N- and O-glycans		5			0
high mannose glycans	High mannose	5	G55220VL	gsd_strict	2
agalactosylation		5			0
core fucosylated glycans	Core fucose	5		gsd_strict	2
lactosylceramide	Lactosylceramide	5	G84224TW	gsd_strict	2
α2-6 sialylation		5			0
sialylated O-glycans		5			0
LacdiNAc	LacdiNac	5	G31736BK	gsd_strict	2
Lewis(X)	Lewis x	5	G00051MO	gsd_strict	2
advanced glycation end products (AGEs)		5			0
glycosylated	glycosylation	5		gsd_strict	2
core-fucosylation	Core-fucosylation	5		gsd_strict	2
asialofetuin		5			0
carbohydrate-deficient transferrin (CDT)		5			0
sialyl residues		5			0
carbohydrate-deficient transferrin		5			0
O-glycosylated	O-linked glycosylation	5		gsd_strict	2
chondroitin sulfate		5			0
sialyl Lewis X (sLeX)		5			0
glycan-related biomarkers		5			0
MUC2		5			0
MUC1 mucin		5			0
2,3-sialyl T antigen, core 1-type O-glycan	Sialyl T antigen	5	G65562ZE	gsd_strict	2
N-glycan profile		4			0
core-fucosylated N-glycans	Core-fucosylated	4	G78059CC	gsd_strict	2
NA2F		4			0
core-fucosylated biantennary glycans		4			0
NGA2F		4			0
oligomannose	High mannose	4	G55220VL	gsd_strict	2
sulfated glycans		4			0
N-glycosylation site		4			0
Globo-H	Globo H	4		gsd_strict	2
glycopeptides		4			0
high-mannose-type glycans	High mannose	4	G55220VL	gsd_strict	2
oligosaccharide chains		4			0
Le(a)	Lewis a	4	G00047MO	gsd_strict	2
free oligosaccharides	Free glycans	4		gsd_strict	2
glycan moieties		4			0
O-linked glycopeptides		4			0
αGlcNAc		4			0
Lewis X Antigen	Lewis x	4	G00051MO	gsd_strict	2
glycan structures	Glycans	4		gsd_loose	2
Sialyl-Tn (STn)		4			0
Sialyl-Le(x) (SLe(x))		4			0
SSEA-3	SSEA-3	4	G25129BT	gsd_strict	2
GlcNAc	GlcNAc	4		gsd_strict	2
glycan epitopes		4			0
sorbitol		4			0
Tn-antigen		4			0
complex glycans		4			0
glycosphingolipids		4			0
glucosepane		4			0
glycosylation site		4			0
complex N-glycans		4			0
Neu5Ac	Neu5Ac	4		gsd_strict	2
reelin		4			0
6-sulfo sialyl Lewis X	6-Sulfo Sialyl Lewis x	4	G80722US	gsd_strict	2
aberrant glycan structures		4			0
N-glycolylneuraminic acid (Neu5Gc)		4			0
N276 glycan		4			0
Lewisx	Lewis x	4	G00051MO	gsd_strict	2
sialyl Lewis x (sLex)		4			0
anti-laminarin		4			0
heparan sulfate		4			0
IgG glycosylation		3			0
complex-type glycans		3			0
afucosylation		3			0
high-mannose glycans		3			0
high-mannose N-glycans		3			0
Sialyl-Lewis X	Sialyl Lewis x	3	G00054MO	gsd_strict	2
glycosaminoglycans		3			0
sialyl Lewis-X		3			0
N- and O-linked glycans		3			0
N-acetylglucosamine (GlcNAc)		3			0
digalactosylation		3			0
NA2		3			0
high mannose N-glycans	High mannose	3	G55220VL	gsd_strict	2
tri- and tetra-antennary N-glycans		3			0
terminal galactosylated N-glycans		3			0
α2,3-linked sialylation		3			0
core 2-branched O-glycans	Core 2	3	G00033MO	gsd_strict	2
Fucosylated haptoglobin		3			0
T-antigen		3			0
high-mannose type N-glycans	High mannose	3	G55220VL	gsd_strict	2
GM2	GM2	3	G79389NT	gsd_strict	2
O-glycan chains		3			0
GD3	GD3	3	G98544DH	gsd_strict	2
Thomsen-Friedenreich (TF) antigen	T antigen	3	G00031MO	gsd_strict	2
Lewis(y)	Lewis y	3	G00052MO	gsd_strict	2
A2BG2		3			0
α2,6-linked sialic acids	Alpha2,6-linked sialic acids	3		gsd_strict	2
6-sulfo sialyl Lewis x	6-Sulfo Sialyl Lewis x	3	G80722US	gsd_strict	2
TF-antigen	T antigen	3	G00031MO	gsd_strict	2
sialylated structures		3			0
sialyl Lewis X (SLe(x))	Sialyl Lewis x	3	G00054MO	gsd_strict	2
Man8		3			0
Man9		3			0
Lewis x antigen	Lewis x	3	G00051MO	gsd_strict	2
N-linked glycan moieties		3			0
core 1 O-glycans		3			0
Sialyl-Le(a) (SLe(a))		3			0
hypoglycosylation		3			0
trisialotransferrin		3			0
tetrasialotransferrin		3			0
pentasialotransferrin		3			0
bisecting N-acetylglucosamine (GlcNAc)		3			0
poly-N-acetyllactosamine		3			0
glycosylated ferritin		3			0
O-linked carbohydrates	O-linked glycans	3		gsd_strict	2
glycosylated protein		3			0
Oligosaccharides	Glycans	3		gsd_strict	2
Sialyl-Tn	Sialyl-Tn antigen	3	G36123IU	gsd_strict	2
N-linked oligosaccharide chains		3			0
branched N-glycans		3			0
N197 glycan		3			0
complex-type N-glycans		3			0
N-linked sugars	N-linked glycans	3	G78059CC	gsd_loose	2
GalNAc O-glycosylation		3			0
galactosylated glycans		3			0
MUC-1		3			0
sialyl-Lewis(a)	Sialyl Lewis a	3	G00053MO	gsd_strict	2
GM3 ganglioside		3			0
non-enzymatic glycosylation		3			0
core-fucosylated	Core-fucosylation	3		gsd_strict	2
α2,6-sialic acid	Alpha2,6-linked sialic acids	3		gsd_strict	2
furosine		3			0
glycosylphosphatidylinositol (GPI) anchor	GPI anchors	3		gsd_strict	2
O-linked sugars	O-linked glycans	3		gsd_loose	2
N- and O-linked glycosylation		3			0
alpha1,6-fucosylated		3			0
N-linked carbohydrate chains		3			0
N-linked glycosylation site		3			0
core 1-derived O-glycans		3			0
CD15		3			0
MUC1 glycopeptides		3			0
carbohydrate chains		3			0
sialyl T	Sialyl T antigen	3	G65562ZE	gsd_strict	2
N-linked glycan structures	N-linked glycans	3	G78059CC	gsd_loose	2
sialyl Lewis X (sLe(x))	Sialyl Lewis x	3	G00054MO	gsd_strict	2
Glycosylphosphatidylinositol (GPI)	GPI anchors	3		gsd_strict	2
core 2 branched O-glycans		3			0
3'-sialyllactose		3			0
sialyl-Lewis A	Sialyl Lewis a	3	G00053MO	gsd_strict	2
CA 19-9 antigen	Sialyl Lewis a	3	G00053MO	gsd_strict	2
sialylated	sialylation	3		gsd_strict	2
glycoforms		3			0
Lewis antigens		3			0
glycosylated residues		3			0
sialoglycoproteins		3			0
Sialic Acid	Sialic acids	3		gsd_strict	2
sialoglycan ligands		3			0
Lewis X antigen	Lewis x	3	G00051MO	gsd_strict	2
O-glycosylated proteins		3			0
PI-glycan		3			0
underglycosylated MUC1		3			0
glucosylceramide (GlcCer)		3			0
sulfated glycan		3			0
sialylated O-linked glycans		3			0
glycan profile		3			0
fucosyl residue		3			0
N-glycan biosynthesis		3			0
hCG glycoforms		3			0
fucoidan		3			0
Lacto-N-fucopentaose III (LNFPIII)		3			0
HNK-1 carbohydrate epitope	HNK-1	3	G54406UD	gsd_strict	2
sialyl LewisX	Sialyl Lewis x	3	G00054MO	gsd_strict	2
glycan-phosphatidyl inositol (GPI)		3			0
mannan		3			0
α2,6-SIA	Alpha2,6-linked sialic acids	3		gsd_strict	2
PIG-linked surface structures		3			0
hyperfucosylated		3			0
Gal-9		3			0
Galectin-1		3			0
6-sulfo Lewis X		2			0
core 2 glycans		2			0
FA2G2S1		2			0
GP1		2			0
GP2		2			0
GP6		2			0
GP7		2			0
GP5		2			0
bisection		2			0
core 2 O-glycan	Core 2	2	G00033MO	gsd_strict	2
NA3Fb		2			0
NA4		2			0
NA2FB		2			0
tri-antennary structures		2			0
α2,6-linked sialic acid	Alpha2,6-linked sialic acids	2		gsd_strict	2
salivary glycopatterns		2			0
sialylated N-glycan		2			0
Thomsen-nouveau (Tn) antigen	Tn antigen	2	G57321FI	gsd_strict	2
NGA2FB		2			0
bisecting N-acetylglucosamine (GlcNAc) glycoforms		2			0
glycosylated PD-L1		2			0
oligosaccharides terminating in GlcNAc or N-acetyl-lactosamine with occasional α1,2-linked fucose		2			0
triantennary glycans		2			0
high-mannose glycan		2			0
GM1	GM1	2	G48558GR	gsd_strict	2
mucin glycans		2			0
monogalactosylation		2			0
Neu5Gc		2			0
β1-6 branching		2			0
N-glycan epitopes		2			0
advanced glycation endproducts (AGEs)		2			0
paucimannosidic glycans		2			0
sialylated MUC1		2			0
trisialylated triantennary glycans		2			0
deglycosylation		2			0
core 1	Core 1	2	G00031MO	gsd_strict	2
highly fucosylated N-glycans		2			0
cutaneous lymphocyte-associated antigen (CLA)		2			0
human milk glycans		2			0
carbohydrate deficient transferrin		2			0
GalNAc-ol		2			0
sulfation		2			0
FA2B		2			0
A2G2		2			0
FA2G2		2			0
sialyl Lewis A	Sialyl Lewis a	2	G00053MO	gsd_strict	2
mannosylation	mannosylation	2		gsd_strict	2
fucosylated glycoform		2			0
diantennary structures		2			0
sialyl Lewis-X (sLe(X))		2			0
sialosyl-Tn antigen		2			0
Fructosamine		2			0
complex-type N-linked glycans		2			0
core fucosylated structure	Core-fucosylated	2	G78059CC	gsd_strict	2
fucosylated N-linked glycans		2			0
fucosylated O-linked glycans		2			0
GalNAc residues		2			0
Man5		2			0
glycation sites		2			0
core 2-based O-glycans		2			0
serum glycans		2			0
fucosylated	fucosylation	2		gsd_strict	2
Glycosylation	glycosylation	2		gsd_strict	2
truncated O-glycans		2			0
N-linked glycopeptides		2			0
alpha2,6-sialylation		2			0
specific glycan structures		2			0
terminal sialic acid		2			0
Mac-2 binding protein glycosylation isomer (M2BPGi)		2			0
Lewis X pentasaccharide		2			0
core 2	Core 2	2	G00033MO	gsd_strict	2
sialyl-Le(x)	Sialyl Lewis x	2	G00054MO	gsd_strict	2
Carbohydrates	Glycans	2		gsd_strict	2
sulfated Lewis X		2			0
fucosylated epitopes		2			0
Tn (GalNAc)		2			0
STn (sialyl alpha2-6 GalNAc)		2			0
TF (Gal beta1-3 GalNAc)		2			0
NeuAc-Gal-GlcNAc2		2			0
Tn antigen (α-O-GalNAc-Ser/Thr)		2			0
IgG galactosylation		2			0
mucin-type O-glycans		2			0
mannose type glycans		2			0
O-glycosylations	O-linked glycosylation	2		gsd_strict	2
Lewis X (LeX)	Lewis x	2	G00051MO	gsd_strict	2
E-selectin ligand		2			0
N276-glycan		2			0
sialyl-Tn (sTn)		2			0
trifucosylated tetra-antennary glycan		2			0
nonglycosylated prostate-specific antigen (PSA)		2			0
NG1(6)A2F		2			0
advanced glycation end products		2			0
alpha-galactosylceramide		2			0
IgG sialylation		2			0
Sialyl-Tn antigen	Sialyl-Tn antigen	2	G36123IU	gsd_strict	2
sialyl-core 1 structure (NeuAcα2-3galactosyl β1-3-N-acetylgalactosamine)		2			0
sialylated hybrid structures		2			0
N-glycan chains		2			0
Peak3		2			0
glycated hemoglobin		2			0
hyperglycosylated human chorionic gonadotropin		2			0
N-glycosylations	N-linked glycosylation	2		gsd_strict	2
high mannose	High mannose	2	G55220VL	gsd_strict	2
Tn antigen (GalNAcα1-Ser/Thr)		2			0
mannosylated	mannosylation	2		gsd_strict	2
asparagine-linked glycans		2			0
core and outer arm fucosylation		2			0
sialic acid (Sia)		2			0
underglycosylated mucin		2			0
outer arm to core fucose		2			0
tetrasialylated structures		2			0
mannose structures		2			0
sialyl Lex	Sialyl Lewis x	2	G00054MO	gsd_strict	2
O-linked carbohydrate	O-linked glycans	2		gsd_strict	2
glycosylation sites		2			0
Advanced glycosylation end products (AGEs)		2			0
glycosylated serum albumin		2			0
alpha-1-acid glycoprotein		2			0
hypoglycosylated MUC1		2			0
Lewis(b)	Lewis b	2	G39211DH	gsd_strict	2
Fucosylated glycans		2			0
highly sialylated multi-branched glycans		2			0
oncofetal fibronectin		2			0
highly-branched		2			0
α2,3-linked sialic acids		2			0
core-2 O-glycans		2			0
complex-type oligosaccharides		2			0
glycosyl phosphatidylinositol (GPI)		2			0
high branching (HB)		2			0
triantennary (TRIA)		2			0
GM1 ganglioside	GM1	2	G48558GR	gsd_strict	2
N-acetyl-galactosamine		2			0
cancer-associated glycan alteration		2			0
glycan nodes		2			0
N-linked carbohydrate	N-linked glycans	2	G78059CC	gsd_strict	2
Le(X)	Lewis x	2	G00051MO	gsd_strict	2
N-linked and O-linked carbohydrates		2			0
fucosylated glycoforms		2			0
AC133		2			0
N-glycosylated clusterin		2			0
alpha GalNAc		2			0
fructosyl-lysine		2			0
GalNAcalpha-O-bn		2			0
O-linked β-N-acetylglucosamine (O-GlcNAc)		2			0
glycan features		2			0
glycan motifs		2			0
N-glycosylated peptides		2			0
α2,6-sialylated N-glycans		2			0
D-mannosyl residues		2			0
Sialyl Lewis X Antigen	Sialyl Lewis x	2	G00054MO	gsd_strict	2
α2,6 sialylation		2			0
Lewis type 1 antigens		2			0
trisialylated triantennary glycan		2			0
6-sulfo-sialyl Lewis x	6-Sulfo Sialyl Lewis x	2	G80722US	gsd_strict	2
CD45RB glycosylation		2			0
glycosylphosphatidylinositol	GPI anchors	2		gsd_strict	2
Glycated albumin		2			0
sialyltransferases		2			0
aberrant glycans		2			0
core2 O-glycans	Core 2	2	G00033MO	gsd_strict	2
Lewis x (Le(x))		2			0
MUC4		2			0
alpha (1)-acid glycoprotein (AGP)		2			0
sialosyl-Le(x)		2			0
aglycosylated		2			0
asparagine-linked glycosylation		2			0
Tf-Gly		2			0
sialylated tumor-related antigen (sTRA)		2			0
GlycB		2			0
Asn-linked glycosylation		2			0
glycosylated G-CSF		2			0
complex-glycosylated		2			0
α2,3-sialic acid		2			0
glucose monomycolate		2			0
N-glycosylation variants		2			0
glycophospholipid		2			0
α2,3-sialylation		2			0
MUC16		2			0
sialyl Le(a)		2			0
carbohydrate moiety		2			0
sialyl-Lewisx epitopes (sLe(x))		2			0
glycosylation pattern		2			0
IgG fucosylation		2			0
glycan adducts		2			0
fucosylated N/O-glycans		2			0
biantennary glycan		2			0
sialyl 6-sulfo Lewis X		2			0
Man9GlcNAc2		2			0
dextran sulfate		2			0
α1,4-linked N-acetylglucosamine (αGlcNAc)		2			0
HNK-1 glycan		2			0
glycan moiety		2			0
sLe(x)	Sialyl Lewis x	2	G00054MO	gsd_strict	2
asparagine-linked oligosaccharides		2			0
mucin-type glycans		2			0
sialyl-Lewisa		2			0
sialyl-Lewisx		2			0
CCA-associated carbohydrate antigen (CCA-CA)		2			0
advanced glycation endproducts		2			0
4-O-hexosaminyl-containing disaccharide mimics		2			0
lactose		2			0
glycan composition		2			0
core 3 O-glycan		2			0
6-sulfo N-acetyllactosamine		2			0
sialylated epitope		2			0
carbohydrate residues		2			0
O-glycosylated peptides		2			0
sTRA		2			0
bifucosylated tetra-antennary glycan		2			0
Lewis A	Lewis a	2	G00047MO	gsd_strict	2
advanced glycation end-products (AGEs)		2			0
TA-MUC1		2			0
TF		2			0
L2/HNK-1 carbohydrate epitope		2			0
Amadori albumin		2			0
high mannose type glycan		2			0
under-glycosylated MUC1		2			0
glycosyl-phosphatidylinositol (GPI)		2			0
mannoproteins		2			0
SLe(x)	Sialyl Lewis x	2	G00054MO	gsd_strict	2
LacNAc	N-acetyllactosamine (Type 2)	2	G00055MO	gsd_strict	2
Gd-IgA1		2			0
sialyl lewis A	Sialyl Lewis a	2	G00053MO	gsd_strict	2
oligomannose N-glycans		2			0
Man5GlcNAc2		2			0
anti-glycan antibodies		2			0
α1,4-linked N-acetylglucosamine		2			0
N-glycosylation patterns		2			0
Mucin-1		2			0
PMM2-CDG		2			0
Polysaccharides		2			0
MUC5AC		2			0
alpha-N-acetylgalactosamine (GalNAc)		2			0
glycosylated forms		2			0
Galactose-deficient IgA1		2			0
anti-Saccharomyces cerevisiae antibodies (ASCA)		2			0
N332 glycan		2			0
sialyl T antigen	Sialyl T antigen	2	G65562ZE	gsd_strict	2
O-glycopeptides		2			0
high-mannose glycosylation		2			0
CA50		2			0
sialyl Lewis A (sLe(a))		2			0
tumor-specific glycan changes		2			0
sialyl-TN glycans	Sialyl-Tn antigen	2	G36123IU	gsd_strict	2
gp120		2			0
sulfo-Lewis(a)		2			0
fucosylated glycoforms of IgG2		2			0
deglycosylated ricin A chain		2			0
Thomsen-Friedenreich		2			0
N-Glycan	N-linked glycans	2	G78059CC	gsd_strict	2
N-glycan modifications		2			0
sialic acid-containing glycans		2			0
truncated O-linked saccharides		2			0
fucosylated PSA		2			0
Tn antigens	Tn antigen	2	G57321FI	gsd_strict	2
phosphatidylinositol-glycan (PI-G)		2			0
N-glycolylneuraminic acid		2			0
N-acetylneuraminic acid (Neu5Ac)		2			0
α-Gal		2			0
phosphatidylinositol-glycan		2			0
oligomannoside		2			0
Heparan sulfate		2			0
Lewis(Y)	Lewis y	2	G00052MO	gsd_strict	2
Hyperglycosylated hCG		2			0
Hyperglycosylated hCGβ		2			0
fucosylated triantennary sugar chain		2			0
mucin O-glycans		2			0
ACCA		2			0
embryoglycan		2			0
HNK-1 carbohydrate		2			0
Galbeta1-4GlcNAc		2			0
sialyl residue		2			0
anti-Saccharomyces cerevisiae		2			0
branched glycans		2			0
glycated Lp(a)		2			0
galactose-deficient immunoglobulin A1 (Gd-IgA1)		2			0
CA 19-9	Sialyl Lewis a	2	G00053MO	gsd_strict	2
sialic acid alpha2-3 galactose linkage		2			0
Galbeta1-3GalNAc		2			0
N- and O-linked glycan residues		2			0
N-glycan structure		2			0
anti-chitin		2			0
α2,6-sialylation		2			0
NeuAc alpha 2-3Gal		2			0
core-1 O-glycans		2			0
orosomucoid		2			0
HNK-1 epitope	HNK-1	2	G54406UD	gsd_strict	2
α2-6-sialic acid		2			0
6'-sulfated sialyl Lewis X		2			0
N-glycopeptide IgG2-GP09		2			0
sialyl-Lewis-X		2			0
heparin		2			0
heavy chain glycans		2			0
Alpha-L-fucose		2			0
anti-chitine		2			0
sialyl Lewis(x) (sLe(x))		2			0
polylactosaminoglycans		2			0
sialyl-di-Lewis a		2			0
sialylated glycan-structures		2			0
carbohydrate moieties		2			0
glycan branching		2			0
hyposialylation		2			0
mannosides		2			0
glycocalyx		2			0
sialyl-Tn (sTn) antigen		2			0
agalactosylated (G0) IgG		2			0
V3-glycan		2			0
polylactosaminoglycan		2			0
Asn-linked oligosaccharides		2			0
hyaluronan	Hyaluronan	2	G29086KO	gsd_strict	2
GalNAcbeta1-4(Fucalpha1-2Fucalpha1-3)GlcNAc (LDN-DF)		2			0
hyaluronic acids		2			0
N-acetyl glucosamine residues		2			0
N-acetyl methyl groups		2			0
core-fucosylated haptoglobin		2			0
Wisteria floribunda agglutinin positive Mac-2-binding protein (M2BPGi)		2			0
α2,6 sialylated N-glycans		1			0
digalactosylated monosialylated biantennary with core and antennary fucose		1			0
the ratio of all fucosylated monosialylated and disialylated structures		1			0
the proportion of high mannose glycan structures in total neutral IgG glycans		1			0
the percentage of all fucosylated structures in total neutral IgG glycans		1			0
the incidence of bisecting GlcNAc in all fucosylated digalactosylated structures in total neutral IgG glycans		1			0
difucosylated Lewis Y (LeY)		1			0
α-GalNAc Tn-antigen		1			0
Core 1 and Core 2 glycan structures		1			0
Fuc1Hex5HexNAc5		1			0
IgG1 glycosylation traits		1			0
fucosylation on IgG1, IgG2 and IgG3		1			0
glycosylation of mucin 1		1			0
glycosylation of mucin 16		1			0
glycosylation of CD63		1			0
undersialylated and undergalactosylated biantennary and triantennary glycans		1			0
aglycosylated glycoform		1			0
mono-sialylated glycoform		1			0
glycan compositions or/and structures		1			0
α-2,6 sialic acid		1			0
sialyllactose		1			0
lactose- and N-acetyllactosamine (LacNAc) type-II-core glycans		1			0
NeuAcα2-3Galβ1-4(+/-Fucα1-3) Xylα1-3Glc		1			0
Core 1/Core 3 O-glycosylation		1			0
α-2,3 sialylation		1			0
α-1,2 fucosylation		1			0
core 1 sialylated O-glycans		1			0
Lewis-X antigen (Lex, CD15) (Galβ1-4(Fucα1-3)GlcNAcβ1-R)		1			0
G2		1			0
FA2BG1		1			0
T-antigen (Galβ1-3GalNAc)		1			0
Fc-bisection		1			0
Fc-sialylation		1			0
Fc-fucosylation		1			0
O-acetylated sialoglycans		1			0
oligomannose N-glycan		1			0
IgG Fc N-glycan traits		1			0
galactose and sialic acid structures		1			0
GP4		1			0
GP24		1			0
GP9		1			0
GP13		1			0
GP15		1			0
GP18		1			0
GP23		1			0
Hex1		1			0
HexNAc1Hex1Neu5Ac1		1			0
digalactosylated (G2)		1			0
agalactosylated (G0)		1			0
fucosylation (F)		1			0
bisected N-acetylglucosamine		1			0
complex β1-6 branched N-linked oligosaccharides		1			0
N-glycosylation signatures		1			0
stage-specific embryonic antigen 4 (SSEA-4)		1			0
GP14		1			0
sialyl-Lewis antigen		1			0
fucosylated haptoglobin		1			0
Mac-2 bp glycosylation isomer		1			0
Glucosylsphingosine		1			0
paucimannosidic N-glycans		1			0
complex N- and O-glycans		1			0
isomeric N-glycans		1			0
O-mannose-bound matriglycan		1			0
N-glycans carrying bisecting N-acetylglucosamine		1			0
N-linked glycan compositions		1			0
GlcNAc bisection		1			0
H5N2		1			0
H6N2		1			0
H7N2		1			0
H3N3F1		1			0
H5N5F1		1			0
Globo H hexasaccharide		1			0
bifucosylated triantennary N-glycan (peak10, NA3F2)		1			0
N-glycan structures (peak9, NA3Fb)		1			0
N-glycan structures (peak12, NA4Fb)		1			0
disialyl core 1 O-glycan		1			0
tri-antennary and sialylated N-glycans		1			0
core-fucosylated glycans	Core fucose	1		gsd_strict	2
bisected glycans		1			0
agalactosylated, HexNAc terminated IgG1 glycoforms		1			0
bisecting glycoforms		1			0
biantennary glycoforms		1			0
tetra-antennary α-2,3 sialylated N-glycans		1			0
dimeric Le(x)	Dimeric Lewis x	1	G79535HZ	gsd_strict	2
galactosylated N-glycans		1			0
Lewis-X		1			0
N58 glycan		1			0
nonsialylated, nonfucosylated N-glycans		1			0
fOSs	Free glycans	1		gsd_strict	2
pauci-mannose		1			0
HexNAc4 Hex5 Fuc1 NeuAc1		1			0
HexNAc4 Hex5 Fuc1 NeuAc2		1			0
6-sulfo type2 lactosamine		1			0
6-sulfo Lewis Y		1			0
3'-sulfo type1 lactosamine		1			0
3'-sulfo Lewis A	3'-Sulfo-Lewis a	1	G78706CK	gsd_strict	2
Cervical glycans		1			0
Cervical glycome		1			0
NeuAcα2-3Galβ1-3N-acetylgalactosamine (GalNAc)		1			0
sialyl Lewis X antigen	Sialyl Lewis x	1	G00054MO	gsd_strict	2
trisialylated monofucosylated triantennary glycan (A3F)		1			0
extended O-glycans		1			0
Galbeta(1-3)GalNAc	T antigen	1	G00031MO	gsd_strict	2
H3N5		1			0
H4N3F1P1		1			0
H5N4F1P1		1			0
S1H5N4F1		1			0
NA4Fb		1			0
NG1A2F		1			0
dimLea		1			0
LebLea		1			0
bigalacto core-α-1,6-fucosylated biantennary glycan		1			0
branching α-1,3-fucosylated triantennary glycan		1			0
terminal lactosamine		1			0
α1,6 and α1,3 fucosylated oligosaccharides		1			0
GalNAcα1,3(LFucα1,2)Galβ1,3/4GlcNAcβ1		1			0
chitotriose		1			0
α1,2-linked fucose		1			0
